id;name;reference;description;image_src;quantity;price;active
1;Steel;Consultant;../fake-data/blob/hipster.txt;cross-platform c;35091;34790;true
2;Computer c deposit;THX Car;../fake-data/blob/hipster.txt;Soap withdrawal;40879;70307;true
3;Incredible Kirghizistan;compressing withdrawal green;../fake-data/blob/hipster.txt;Bedfordshire Liban neutral;4184;16473;false
4;digital;CFP orange;../fake-data/blob/hipster.txt;Vaneau;95487;35518;true
5;indigo JSON Limousin;Steel;../fake-data/blob/hipster.txt;solutions;27331;47574;true
6;Rubber Chips;Keyboard;../fake-data/blob/hipster.txt;d'Argenteuil black pixel;28408;60076;true
7;Renminbi rich de;virtual Stand-alone Fantastic;../fake-data/blob/hipster.txt;Buckinghamshire;8835;44109;true
8;a;application grey solution;../fake-data/blob/hipster.txt;Franche-Comté Ergonomic Ergonomic;5859;10526;true
9;full-range;back-end a b;../fake-data/blob/hipster.txt;Games;67286;61811;true
10;transmit Incredible IB;Algérie Rustic;../fake-data/blob/hipster.txt;Taka;90493;33918;true
